Republic of Korea,11.0 [8.2-14.3]
Republic of Moldova,29.8 [23.1-37.0]
Republic of North Macedonia,28.5 [21.9-36.1]
Romania,30.0 [23.4-37.3]
Russian Federation,27.2 [21.2-33.6]
Rwanda,26.7 [19.7-34.3]
Saint Kitts and Nevis,25.3 [18.7-32.4]
Saint Lucia,27.1 [20.2-35.0]
Saint Vincent and the Grenadines,23.3 [17.0-30.5]
Samoa,24.0 [17.9-30.8]
San Marino,No data
Sao Tome and Principe,25.8 [19.7-33.0]
Saudi Arabia,23.3 [18.0-29.2]
Senegal,30.2 [23.0-38.0]
Serbia,29.5 [23.4-35.6]
Seychelles,23.5 [17.6-30.2]
Sierra Leone,30.3 [23.4-37.2]
Singapore,14.6 [10.8-19.0]
Slovakia,28.5 [22.5-34.9]
Slovenia,30.5 [23.9-37.9]
Solomon Islands,22.0 [15.7-29.0]
Somalia,32.9 [25.2-41.3]
South Africa,26.9 [21.7-32.7]
South Sudan,No data
Spain,19.2 [14.5-24.6]
Sri Lanka,22.4 [16.5-29.3]
Sudan,No data
Sudan (former),30.2 [23.0-37.8]
Suriname,22.4 [16.2-29.5]
Sweden,19.3 [14.7-24.3]
Switzerland,18.0 [13.5-23.2]
Syrian Arab Republic,24.5 [18.7-30.8]
Tajikistan,26.1 [18.9-34.2]
Thailand,22.3 [16.9-28.3]
Timor-Leste,27.6 [21.4-34.4]
Togo,28.9 [22.4-35.8]
Tonga,23.7 [17.5-30.6]
Trinidad and Tobago,25.8 [18.7-33.9]
Tunisia,23.2 [17.7-29.0]
Turkey,20.3 [15.9-24.9]
Turkmenistan,25.4 [19.3-32.4]
Tuvalu,23.7 [17.6-31.2]
Uganda,27.3 [21.0-34.2]
Ukraine,27.1 [20.7-34.2]
United Arab Emirates,21.1 [15.2-28.0]
United Kingdom of Great Britain and Northern Ireland,15.2 [12.2-18.3]
United Republic of Tanzania,27.3 [21.4-33.8]
United States of America,12.9 [9.8-16.8]
Uruguay,20.7 [15.3-26.6]
Uzbekistan,25.6 [19.3-32.4]
Vanuatu,24.2 [17.3-31.5]
Venezuela (Bolivarian Republic of),18.6 [13.7-24.1]
Viet Nam,23.4 [18.0-29.4]
Yemen,30.7 [23.3-38.7]
Zambia,27.1 [20.8-34.1]
Zimbabwe,28.2 [21.6-35.7]
